name,line
Sonic,"And she has skin and hands that are small and dainty and can fit in a butthole. She's the girl of my dreams, Shadow!"
Shadow,I have one of those too. He's very very nice.
Shadow,ZA WARUDO!
Rouge,You may now kiss the bride.
Shadow,"Wait, Sonic, which of us is the bride? Sonic!"
Knuckles,"Wait, agh, shit. Shadow: SONIC, I NEED AN ANSWER!"
Rouge,"Come on, Shadow, it's time for the reception."
Shadow,"No, I don't know which one of us is the bride, and that's kind of like a thing for—oh, God."
Memphis,"Go on, Shadow, don't you support gay rights?"
Shadow,I do!
Memphis,"Look at this weird flame in front of me, it's REALLY BIG!"
Shadow,Oh! Memphis: Doesn't that intimidate you?!
Shadow,"Sorry, I had you confused for Sonic. I thought WE were getting married, Mee-philes."
Memphis,"Come kiss me, boy!"
Sonic,Oh! Alright! Knuckles: FUCK my ass.
Sonic,Where's that sweet cake?
Knuckles,"My brain again. Tails: We made it, we're back!"
Sonic,"Tails, did you forget to decorate the pavilion? Tails: No! I--I wasn't in charge of decorations."
Sonic,"Oh my god, of course."
Sonic,"Oh, the invitation! You didn't hand it out!"
Knuckles,I put it on the ground as a decoration. Sonic: To the best wedding of the century!
Tails,"Congratulations, Sonic! Sonic: Oh my god."
Knuckles,"Wait, but you got married in the future. Sonic: No."
Robots,Hello. Hello. Can I have your number? Penny: (wheezing) Are you kidding me?!
Robots,Beep. Borp. Instant ramen. Beep. Borp. Robot noises. Anyone here got weed?
Eggman,"You thought you could get away, gamer girl. You thought that you could fuckin' escape me, gamer girl."
Eggman,But my IQ is too HIGH!
Omega,It looks like that I am trapped in the middle of a forest as Alpha and Omega 3.
Omega,No one else is going to be out here to save me so I must get away immediately.
Rouge,"Well, Hel~lo, nurse!"
Omega,"Who is this gross bat specimen trying to talk to me? Get away from me, thotticus."
Rouge,"Hi! You are quite a hunk of metal, aren't you?"
Omega,And you're quite one-polygon titted.
Rouge,"Here, you want some weed? Omega: I do not have lungs. So I cannot smoke weed."
Omega,But I will take it anyway. And put it directly into my braincells. Here we go.
Omega,HOOOOOLYYYY SHIIIIIIIIIIIIII
Omega,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII (cast laughing)
Omega,"IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII Ryan: Keep holding it, keep holding it, keep holding it!"
Omega,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIT Ryan: Keep holding it! Yes!
Omega,(inhales) WOw.
Hayley,"Oh, fuck me running. Rouge: How does it feel? Are you enjoyin' it?"
Omega,What planet am I on? What's today? My braincell: Destroyed. My wig is gone.
Rouge,Buh-bye~!
Omega,I-- uh-- alright. I'll best be going now. No one will ever follow me with my knife hands.
Memphis,"(laughing) Hello there, Shadow the Hedgehog! It's so good to see you in my"
Memphis,new Fortnite map I'm developing.
Shadow,I was actually meaning to ask you a question:
Shadow,Are you seeing anyone right now? Because there's no one sexier than myself.
Memphis,(chuckles)
Memphis,"Why? Are you– are you interested because, um, I was actually thinking you and I are pretty similar."
Shadow,"Bruh, I wouldn't be asking if I wasn't interested. Memphis: Check out my– look at my cool shield."
Memphis,"It's made of 17,000 polygons and it's also–"
Memphis,"P-Purple and glowy which is your favorite color, I've been told."
Memphis,"Regardless, as I– as I said, previously, this is my new Fortnite map. I'm developing–"
Memphis,I'm developing it in this volcano and people will play it in real life.
Memphis,"If you die in the game, you die in real life, Shadow the Hedgehog."
Shadow,How did you know Sword Art Online was my favorite anime? You should have known that I had terrible taste.
Memphis,I know more about you than you could ever compreh– is that Sonic? How the fuck did he get here?
Memphis,What the fuck is he doing in my shield?
Memphis,"You know him, right? You guys are exes or something. Get him out of my fucking shield!"
Memphis,"If this relationship is going to work, you can't Shadow: No, don't you see?"
Memphis,"bring your exes. You know how uncomfortable that makes me, sweetie."
Memphis,Please. Let him– just go– make him go away.
Shadow,"Mephistopheles, please. I didn't know I was marrying him. I only thought it was you"
Shadow,because you look so similar.
Memphis,"My name is Memphis, Tennessee, and I will have you respect my name."
Memphis,"Here he is; he's still here. Why– why is he here? Like, how did he even get in there?"
Shadow,I don't know.
Shadow,Maybe we put a chicken bone in there or something and he just couldn't resist.
Memphis,He is that stupid. I'm glad we can still bond over how dumb your ex is.
Shadow,Ugh!
Shadow,That felt great.
Memphis,"I know exactly how you like it, baby. And now, check it out."
Memphis,This is my new Steven Universe Crystal Gem cosplay.
Shadow,"God. Omega: I need you to stop right now,"
Omega,for you are not a true gem. You are nothing but a fraud.
Memphis,Oh my god. (violent choking noises) What the fuck. Oh my god.
Memphis,I told you not to invite your asshole friends over and now I– I–
Shadow,I've never met this hunk of metal but I love him.
Memphis,I'm so fucking high right now. He's just here and I got secondhand smoke inebriated. I'm fucking leaving. I'm going back to my parents house until you get your asshole friends in order. Fuck you.
Shadow,Who the fuck are you?
Omega,"Shadow, wait, please don't–"
Omega,"Oh, god. Shadow I only came to admit my true feelings for you."
Shadow,Ah. A world where everyone loves me.
Omega,"It's everything about you. From your hot sauce hair, to your jet boots. Everything that you do is–"
Shadow,Mhm.
Omega,"Are you even listening to me, Shadow?"
Rouge,Hello~!
Shadow,Hey. Omega: Oh god. It's young thotticus once again.
Rouge,"Well, it is quite a pleasure to meet you here. Didn't expect you to be here, Shadow."
Shadow,"I didn't expect to be here either, but here you are with your–"
Omega,Fortnite: Battle Royale will be the biggest game of 2018 if we do not stop that giant.
Shadow,"Thank you, YouTube algorithm. Now go ahead and screw over some more creators."
Rouge,"Wait, Shadow!"
Shadow,"I said I'm going against YouTube now. That's– that's my character arc now, baby."
Omega,"You look like YouTube Red, why are you making fun of me."
Rouge,"Shadow, let me help you! Don't do this all by yourself. We were going to make"
Rouge,the best game together!
Rouge,(scoffs) We'd make such a good team.
Rouge,"Honestly, name a more iconic duo. Omega: Do you have any more weed?"
Shadow,"Little does she know, I hold the game file and–"
Eggman,"Mmm, the game is almost finished."
Shadow,"Hey Eggman, I found the computer room!"
Eggman,I'm actually Todd Howard now cuz I sell all the video games.
Shadow,"That's what they all say. Now quickly,"
Shadow,I need you to publish my game. Eggman: Shadow. You are my greatest creation of all
Eggman,time from the battle royale
Shadow,What? Eggman: and now look at you.
Shadow,"Wait, hold on. Are you my dad?"
Eggman,(chuckles) Where do you think you got all your characteristics?
Shadow,Of being an asshole? That would explain a lot.
Eggman,(chuckles) Look. The only thing I didn't give you is my realistic four penetrating nipples
Eggman,"Coming off my chest, Shadow. That's all you don't have. But when you do have is the battle."
Eggman,the experience to be a true Fortnite twink player.
Shadow,"Well, if you're my daddy, it makes the last dub horrifying. God."
Chase,"Okay."
Ryan,"Alright, cool."
Alfred,"Alright, okay. Welp."
Sonic,Elise! I'm so glad I saved you from that train!
Elise,"Oh, me too. It was so fast. I was so scared."
Sonic,I know. Woah!
Silver,"Hey, I saw you rescue Elise from that train. It was really cool. Can we be friends?"
Sonic,"Uh, no, I don't like you very much. You're weird."
Silver,Awwwh...
Silver,Now I'm sad! (Sonic screaming)
Silver,Take that!
Silver,uuh...
Silver,"This is what a cool does, right?"
Elise,How could you do this?
Eggman,Why don't you come with me again?
Sonic,No! Not again!
Shadow,"Hey. Oh, I haven't met you twink."
Silver,Wait.
Silver,You! You're the one!
Shadow,"Who did what? Wait, what'd I do? I mean, what didn't I do? I mean look at me. I'm so hot, ya know?"
Shadow,You made a rap so fire..
Sonic,"This doesn't change you leaving me at the altar! Wait, I guess it does, see ya!"
Shadow,Hey.
Silver,I'm gonna take you out to save the world!
Shadow,Good luck with that I have weed.
Shadow,See ya.
Silver,(whimpering in pain)
Shadow,Don't you know? Weed makes you fast. That's a factual thing.
Silver,What's a weed?
Shadow,"Oh my god, you can tell you're white..."
Shadow,"Anyway, I finished putting the game-- I sent it to Eggman. He's going to upload it soon."
Silver,No...
Silver,It's too late now. I can't go back in time again because... I can't go back in time again.
Silver,That's just it.
Silver,"But maybe this Blue will save the world, maybe? Here."
Shadow,"Woah, green! Silver: Blue!"
Shadow,What did we just do?
Shadow,Did we do that together? Was that like a gay thing?
Silver,It's always a gay thing. I thought that's just how it worked.. I'm gonna go.
Shadow,"God bless you Sonic Team. God bless you. Well, if you need to go, then go; I'm gonna chill out here and make sure that it gets picked up by some big successful game development company that'll be around for a long time like Blizzard."
Silver,I was talking about taking a shit.
Shadow,"What? Okay... go ahead. I don't know why you need a portal to take a shit,"
Shadow,"but, I mean, if you want to send your shit to the future, then..."
Shadow,Go ahead. I'm not judgmental. At all.
Silver,"Wait, no, don't go in that! That's the toilet!"
Eggman,"Now, you are going to play this game Elise, or else I'm going to push you off of this fucking--"
Elise,"I mean, I could jump. That could happen too."
Eggman,Or I could push you off of this polygon mountain.
Eggman,"Now, what is the choice Elise? You can either die, die, or--"
Sonic,No! Don't do either of those!
Elise,"Okay, I will do my own thing."
Elise,"Okay, I will do my own thing. Eggman: Go do it."
Sonic,No! Eggman: No Elise! I didn't mean it!
Sonic,Woah! You scared the hell outta me.
Eggman,Give me back my gamer girl Sonic!
Sonic,"She's my gamer girl now. Ain't that right, baby? Come with me. Thumbs up! Elise: Oh, my legs. They weak. My legs are weak."
Elise,"Yeah, good job. Good job, Sonic. I'm proud of you. Yeah, that was kind of scary. All right, let's-- let's bounce."
Sonic,"Oh, you want to play God of War?"
Sonic,Huh? Elise: Huh?
Sonic,Who's that?
Sonic,Instant ramen!
Robot,Find them. Find the gamer girl. We have to find the gamer girl.
Elise,"Oh yeah, the filter changed. It's great, isn't it?"
Sonic,I love Instagram. Let's go to Snapchat.
Elise,"It's amazing what natural sunlight in a filtered game will do, right?"
Sonic,"I know right? Like, you know, you just need that vitamin D."
Elise,My skin looks amazing now.
Elise,"Oh my god. Sonic: I know. Oh, do you exfoliate Elise?"
Elise,"Well, yes, I-I guess."
Sonic,That's my tree.
Elise,Oh my gosh. It's beautiful.
Elise,I wanna hug it. Can I hug your tree?
Elise,"Is that allowed? Do I have to ask permission? Sonic: Oh, well, I guess."
Sonic,"Just, you know, don't get too friendly with it."
Elise,"Okay, I promise. I'll keep my hands to myself then. I'll just put my hands back here and admire it from afar."
Sonic,"Well, you can't hug without hands Elise."
Sonic,Make up your damn mind!
Elise,"I did! I decided that cosplay wasn't consent, and I'm just gonna thank you for bringing me to your tree."
Elise,It's so wonderful. It's putting me in all the right moods.. of being.. happy.
Sonic,"Well, what are some of those moods? Huh?"
Elise,"Well happy is one, like I just said, and um..."
Elise,"Hungry. Hungry is a good mood. I've eaten nothing but rocks, as I've said, for a while."
Elise,Some plants would be a nice change to rocks.
Duke,My child. My baby girl. Don't worry.
Elise,Dad used to feed me plants.
Elise,It was nice.
Elise,I think I'm starting to hallucinate. It's been a while.
Elise,I just keep getting kidnapped.
Sonic,How about a hot dog? No additives.
Elise,That sounds wonderful. Um..
Elise,I'm gonna try not to cry now.
Elise,"Because that sounds-- I'm-- I need a minute. I need a minute, Sonic."
Sonic,"No, let it out. It's fine. Oh!"
Elise,Thank you..
Elise,"Thank you. Sonic: Oh, yeah, I mean.."
Sonic,"Yo, you gotta support your friends."
Shadow,(grunts) Silver: (whimpers)
Silver,Ow.. (whimpering) It hurts..
Shadow,Sewer system's a lot more intricate than I expected.
Duke,"Well, you better find it quick, because if we don't find it, we're not gonna be able to play Fortnite!"
Duke,I don't give a shit you better fucking fix it!
Duke,Wait..
Duke,What are you doing here!? Get out!
Shadow,What was that? Silver: I don't know. It sounded like yellow!
Shadow,I knew there was too much yellow in this world.
Shadow,"If I could do anything, I would eradicate 3 colors. Yellow, silver, and then silver again."
Silver,"Oh.. You meant me.. Shadow: No, no, not like you Silver, just like uh.."
Shadow,There's something about it like.. the person that silver kind of is.
Shadow,"Okay. Yeah. No, I don't like you Silver. What are you looking at?"
Silver,"This is really gross, but I can't look away. Ya know, it be like that sometimes."
Shadow,"Oh, God, it's like a pimple popping video."
Silver,(whimpers) I hate those.
Shadow,"Oh, God, I know that coughing."
Silver,"Oh, is it the weed? Is that what that is?"
Shadow,Close. It's my lover.
Duke,Take this. Protect my daughter from the gamers!
Duke,Take this gamer reflective stone.
Silver,I'll go check on the purple.
Shadow,"That's not weed, and you don't even look cool."
Duke,And now... I'll die.
Shadow,"Oh, God. Is that what I look like when I inevitably melt from over saturation of capital- capitalism?"
Shadow,I dunno. I guess that's where I'm going. I had a YouTube thing going.
Shadow,"Oh great emerald, tell me what I'm supposed to fucking do in this dub!"
Memphis,"Shadow, I'm trying to reform, help. Baby, help."
Shadow,"Oh, it's you! Memphis: I'm made of vape smoke babe, come on."
Shadow,"Oh, wait, he's made of- Wait, have you turned to vaping?"
Memphis,"Yeah babe, I'm made of purple jewel stuff. C'mon. Shadow: Is that really wise move?"
Shadow,"Well, I suppose this time, but you better cut that vaping out. Just kidding, you're getting thermosed baby!"
Memphis,"No, don't put me in your red face! No, don't vape me! Shadow: Get in the thermos. Get in the thermos."
Shadow,Get in the-- Get in! Get in the thermos. Get in the thermos! Get in!
Shadow,Pokéball that motherfuckin' vape!
Memphis,(moan)
Memphis,(wincing moan)
Shadow,Now I carry around my boyfriend wherever I desire.
Shadow,And what do you know? The perfect shape.
Silver,(whining)
Silver,"I leave for five minutes, and this happens?!"
Duke,"You've got to take care of the-- take care of the explosion, or we'll all die."
Duke,"You have a high five on your forehead, that means you are an epic gamer."
Duke,I'm going to take my daughter away so that way we can't die.
Duke,"Sweetie, remember, listen. Silver: Don't go toward it! What's wrong with you?"
Duke,Don't-- ...Shut up. I'm gonna resurrect her right now. Baby take the gamer gems.
Silver,Wha? Cool! Duke: I can't believe this..
Duke,By the power of gaming..
Duke,"I fucking live, and so will my daughter."
Duke,"Now, gamers, unite! Bring back my daughter!"
Duke,It worked! Oh my God!
Duke,(choked crying) Wait. Wait. The gamer piss. It killed her!
Duke,(while crying) No! Elise!
Duke,(overdramatic crying) The gamers..
Duke,"Silver... Take her to E3, and see the-- Silver: I don't think I can carry her."
Silver,Oh! She's very heavy. I'm not strong. Duke: Silver. Silver.
Duke,Just think about where you were before you--
Silver,I-- Where I was everything was on fire..
Duke,(shudders) My baby girl gamer...
Duke,You'll find your peace in another-- (choking crying)
Silver,This seems really private. I feel like I shouldn't be here for this.
Duke,(while choking) Shut the fuck up. I'm talking to my my daughter.
Duke,(sniffing and crying) Okay...
Silver,My arms hurt. Duke: Thank you so much...
Duke,"Your hair looks like ketchup, and you have the pale face of mayonnaise, but you will live."
Duke,I know you will.
Silver,"If you don't wrap it up, I'm gonna drop her. This, uh, it really hurts. Duke: Goodbye.. My ba--"
Silver,Okay. I just gotta... Urgh... Oh God.
Silver,"(struggling) Hold on... girl, I... I'll just... carry... you... Aargh--"
Silver,(whining panting) Shadow: Hey.
Silver,(whining crying) I can't.. feel my arms!
Shadow,"I see you got yourself somebody. Not like romantically, because that'd be weird. Silver: (crying) It hurts! Oh no.."
Silver,(crying) Oh no! Where do I put this girl!?
Silver,"(crying, sighs of relief) Shadow: Oh, mood."
Silver,(sighing) Finally.. (exhausted panting) Oh my God..
Shadow,"What do you think, boo? Memphis: I think you should let me out of your fucking vaper, babe."
Shadow,"Hm... Hey, think she likes vaping?"
Memphis,"No, she's like 11. Silver: No, that's... I don't think that's--"
Shadow,"I think we should let her vape. Give her the freedom to vape. All living things deserve freedom, Sliver."
Shadow,"Freedom to weed, to vape, to Fortnite. That's what we're all tying into, I think."
Shadow,That's a central message. Silver: I only know one of those is...
Silver,Can you carry me--? Shadow: No.
Silver,Oh... okay...
Elise,(tired groans)
Silver,How did she sleep through all of that?
Silver,Well whatever. I wish I could sleep. Bye.
Random Citizen,"Oh my God, there's a ship in the sky!"
Random Citizen,Ice cream ship!~
Random Citizen,Is Todd Howard driving an ice cream truck?
Amy,"Oh fuck! That's where I put my dildo! Aw dammit! Aw shit, I gotta go tell Sonic! Fuuuuuuu--"
Royal Staff,Uh ma'am? Uh ma'am? Ma'am? Ma'am--
Elise,"I've been told how to think about the ocean when I'm stressed, and I'm looking at that, and I'm real stressed."
Elise,I'm just gonna go meditate. I'mma think of the ocean..
Elise,Bye guys. I'm a peacin' out. I'll let you deal with this.
Royal Staff,Ma'am you're the ruler of this kingdom! You have to act!
Silver,"Ugh... Oh, now my legs hurt. Everything--"
Blaze,Oh.
Silver,"Blaze, help me. Everything hurts."
Blaze,"So, do you have fun on your little adventures?"
Silver,No! I didn't!
Silver,I didn't have fun at all. My eyeliners ruined. My arms hurt.
Silver,"I got kicked in the head. I hate everything, and I didn't even know I could do that. I'm usually just sad."
Blaze,"That's okay, baby. I know you're lost without me. Be sure never to leave my side again, okay?"
Silver,Okay...
Omega,"Take that. And that! You motherfucker! You steal Shadow away from me, I take your fucking skull! You motherfucking bitch!"
Memphis,"Yo, you chill the hell out dude, I'm too high for this."
Memphis,"All right, anyway, uh..."
Memphis,This is the last time I try to have bots play on my Fortnite server.
Omega,You are nothing but a Fortnite PR fake and a actual diamond accessory.
Memphis,What the fuck does that even mean? Those string of words just absolutely mean nonsense to me.
Memphis,You are so far below me you lowly little trash can man.
Omega,You are nothing but a fake game writer. You will never find happiness you PIECE OF SHIIIIIIIT! (gunfire)
Memphis,Ow! Dickhead! What the fuck!? I'm gonna lay down. I need a second after that. Jesus lord..
Memphis,"Ugh, I'm turning into vape juice, no-!"
Omega,"Shadow, my baby. I am so sorry."
Omega,I had to get rid of him because he was gonna get rid of everything. Also does Rouge have more weed? 'Cause I need that weed.
Omega,My fucking system modules were breaking. My DD4R was breaking on the inside. But I really love you Shadow.
Shadow,"Look, I don't know what your DDR machine is but--"
Shadow,That was an amazing dance!
Rouge,It was so good. You're an icon!
Rouge,You're gonna be more famous than Freddie Mercury!
Omega,I've been doing the JB block boy and b-boy dances all of my life. Also no one knows how to do the shuffle like I do.
Omega,"Listen Shadow, I'm gonna come out and just say it to you because.. my brain broken, and my heart knows what it desires."
Omega,Shadow. You are the one.
Shadow,"Wait, uh, Rouge do you hear something?"
Rouge,"Uh, only the sound of..."
Rouge,"I don't know. The ocean, I guess?"
Omega,Is this the friendzone?
Rouge,"Unfortunately, yes. This is what the friendzone feels like. Something I've felt more times than I care to say."
Shadow,"I don't know how to reciprocate against someone who's that amazing of a dancer but-- Listen we have more things to worry about right now, troupe."
Eggman,(evil snicker) Back in my lair once more.
Eggman,How many times are you gonna run? I've captured you 17 different times!
Elise,I feel like it's gonna be at least 18.
Eggman,The caucasity of this bitch.
Eggman,You run and run. I am an alpha male gamer.
Eggman,She be like This asshole...
Eggman,"I love Fortnite. Without me, you wouldn't even exist! Without me, you wouldn't be able to contain the demon because of gaming!"
Eggman,"Look around you. Imagine... Dragons. Now imagine it. Gaming, on Fortnite BR."
Elise,"I'm imagining the ocean, because, I've established that when I don't want to be somewhere, that's what I think of."
Eggman,"Frank Ocean can't save you now, sweetheart."
Eggman,No one's coming for you. No one's after you. I know what your father wanted for you.
Eggman,"So you're gonna do this whether you like it or not. Now let me log on to my Epic Games account, and let's see what we can--"
Computer,Welcome to EpicGames.com. Beep. Computer room located.
Eggman,"Now let's see... If someone hacked into my Fortnite account, I'm going to have a birth of cactuses out of my asshole."
Computer,Currently being hacked.
Eggman,(demonic high pitched screeching)
Sonic,"Welp, gotta take care of these guys."
Robot,I'mma kill you. Fuck you. Sonic: Who are you?
Robot,"Aggghh! Sonic: Oh my God, it's Blue Man Group!"
Robot,It is no use.
Silver,"Oh, I missed, um, bye!"
Robot,Oh no--! (robots crashing)
Silver,I'm sorry about mistaking you for the rapper: Shadow the Hedgehog.
Sonic,"That's okay. My work is much better though, right?"
Shadow,"Hm, the desert."
Omega,Count how many sand is here Omega. That's your first mission. Omega: Okay.
Omega,1. 2. 3. 4. Rouge: Why the fuck would you make him do that?
Omega,5. 6. 7. Rouge: It's gonna take so long! Shadow: It passes the time.
Omega,8. 9. 10. 11. Rouge: Shadow! It's gonna be so annoying!
Omega,12. 13. Shadow: (Almost laughing) I'm curious what it thinks its number is. (Cast laughs hysterically)
Omega,14. 15. 16. 17. Rouge: No! He's just gonna be counting forever!
Omega,18. 19. Shadow: Perhaps...
Omega,20. 21. 22. 23. 24. 25. 26. (Cast continues to laugh hysterically)
Omega,"27. 28. 29. 30. Rouge: Shadow, what have you brought? This is your fault!"
Omega,There are only 30 million sand particles in this desert.
Shadow,See? That was easy. Rouge: Oh fuck.. Oh my God.
Memphis,"Ya know, being an independent- Shadow: Oh my God, purple!"
Memphis,"Shh, please don't interrupt me. (Cast laughs)"
Memphis,Being an independent gaming developer has made me realize I have so much more potential.
Memphis,Please support my Patreon in my new startup industry.
Memphis,I will be selling and renti-- What? Shadow: Omega! Count the-- Count the number of grains of sand in this room!
Omega,Okay. 1. 2. 3. 4. Rouge: Shadow!
Omega,"(counting in the background) Rouge: What the fuck dude? Memphis: I was going to compete with him to see who could count better,"
Omega,(counting in the background)
Memphis,"but apparently, he's already on it, so, whatever. Anyway."
Memphis,"Fucking... okay-- Shadow: Okay, you can stop now!"
Memphis,"Look, just listen to me, and I will give you this orange juice gem."
Shadow,Just kidding. Keep counting. It's your one mission.
Shadow,Now listen.... Listen here. Omega: (continues counting)
Shadow,You won't be able to stop the power of this game. We have mass computing power as you can see by our robot.
Memphis,"(evil laugh) You silly feeble-minded little gay. I am so far beyond Fortnite. I have moved on, and my stardom will end the world!"
Omega,WHAAAAAAAH!
Memphis,"You can see, this power is already farther than you could look. Everything is purple! It's great! Oh my God, look at how high resolution I am!"
Memphis,"Aah, no, ack! Shadow: This is-- His game is better, it looks way better!"
Memphis,"(dying noises) Shadow: However, he paid the price of his solenoid greatest game."
Shadow,"Wait, how'd I get this again? Didn't leave in the past? Rouge: Get him Shadow. He's our gaming competition."
Rouge,With him out of the way- Omega: It's time for him to go.
Omega,"No more Fortnite. Memphis: (Silly voice) I'm just a little blob boy now, fuck you!"
Memphis,"Hehe, this is what sound like as a cloud. Fuck yo-- Oh no! Sh--!"
Shadow,"Gotta catch em all, baby! Cuz he's... Shadow."
Shadow,Was NOT expecting explosions!
Rouge,What just happened? What did you do?
Omega,He went into the jar. Never to be seen again--
Memphis,"Oh my God, my neck."
Memphis,I need to see a chiropractor.
Memphis,"Oh my... Oh my God. Oh my God, did you see that?"
Memphis,"Fuck you for making me go through that dude! Shadow: He's right! 10,000 years really made you such a crick in the neck!"
Memphis,"You guys suck. Really, I can't believe I used to date you. You used to be cool dude. Shadow: Have you met me?"
Shadow,I was really cool. Memphis: Yeah.
Memphis,"You're sexy as fuck, but you're also a dickhead. You've stuck me in your jewel."
Shadow,"You know what they say-- Memphis: I don't know what they say, and I don't care what they say."
Memphis,"Look at my army of Me's. I'm going to fuck me, because I can't trust anybody with my penis except for myself."
Memphis,Can you believe me? Have you ever fucked a clone? It's great.
Memphis,"They know all the right places, and I have ten million of them to go around."
Shadow,But Mephiles! Fucking you is my job!
Memphis,"Not anymore, baby! Not ever since I became an independent game--"
Shadow,Joke's on you. This is a dream come true for me. Memphis: Would you shut the fuck up?
Memphis,"I swear to God, I didn't invite you to my house. I have it--"
Memphis,"I put it on Facebook that I was having a homecoming party because-- Shadow: Omega, count how many mouths he has!"
Omega,Okay...
Shadow,"Yeah, exactly! You ain't got no mouths, bitch!"
Shadow,"Hyah! Memphis: Oh, we have to get him before he leaves."
Memphis,He's cra-- He's crashing my great fucking home warming party-- Oh my God!
Memphis,No! What the fuck? My clones! Shadow: Haaaaah!
Shadow,Teriaaaa! Memphis: No! Dickhead! You're the worst!
Eggman,God-- Wait-- What's happening? Wait-- No! The battle royale! It's being--
Computer,Currently being hacked! Eggman: It's being destroyed!
Eggman,What's happened? What's going on? Why is Fortnitebeing destroyed-- Computer: Your account is compromised!
Eggman,NO! GOD DAMMIT! I spent so many hours getting all those skins! The dances!
Eggman,They're all gone! Noooo!
Eggman,They're all gone! Noooo! Computer: Your social security is someone else's!
Sonic,Oh! I wanted a Spongebob popsicle!
Silver,I like the Bubbles ones.
Sonic,You WHAT?
Silver,"You know, from Powerpuff Girls?"
Sonic,"Oh, I never thought someone could be so misguided..."
Sonic,AUGHHH! (slams fist down in anger)
Silver,"Yeah... that's my name and my game. Wait, how does that saying go?"
Silver,I'll shut up now. Blaze: Don't be so hard on him Sonic.
Sonic,I'll be as hard on him as I wanna be.
Silver,"That's very suggestive, but also, if you're offering, then I'd be happy to. Ya know?"
Sonic,...What??
Silver,"Oh, um okay, I'm sorry. Have a diamond."
Sonic,Yeah! Time travel! Again! Silver: (Whimpers)
Sonic,"Silver, you know what?"
Sonic,You're a twink.
Sonic,I'm gonna go smoke some weed now.
Silver,How long were you waiting to say that?
Sonic,"The whole dub, baby!"
Silver,"Yeah, I figured. Okay. have fun."
Ryan,That is the tagline of this dub.
Alfred,Just... Silver is a twink.
Silver,"Wait, nevermind, I'm coming with you."
Sonic,"Oh! Wait, did we time-- (yelps)"
Silver,"Oh, what the heck?"
Silver,What are we doing here? And why am I still holding it?
Blaze,"You're holding it because we have a job to do, Silver T. Hedgehog."
Silver,Is the job to be gross?
Silver,"Oh, but we're really good at that. Blaze: No. The job is to facilitate maAA--"
Sonic,Woah!
Silver,Oh no.. Blaze: I'm going to sacrifice myself Silver.
Silver,"No, please, you're too good-- You're not only too good for this world, but also any other world that could possibly exist."
Silver,"Here, let me try hitting it with-- (yelps of pain)"
Blaze,"Silver, there's no other way! You'll die! Silver: (cries in pain)"
Silver,"No, I can do this! I can be-- I can be a cool boy. I'm cool! Blaze: Silver, quit it! Silver! Quit it! Silver!"
Blaze,Who will pass on my legacy if you are gone?
Blaze,"It's my job, Silver. I will take on this burden. Treat me like a goddess!"
Blaze,(groans)
Silver,I think I already did but okay.
Blaze,"Silver! When they talk about me in the future, make sure my name is something cool. Like... Jessica Grimdock."
Silver,Or Blaze?
Blaze,"Yes! The coolest name in the world! That was a test Silver, and you passed."
Silver,"Finally, I did something right!"
Blaze,Silver? Silver: What is it?
Silver,"What is it, Blaze? Blaze: I'm almost proud of you."
Silver,(gasp) That's the most proud of me you've ever been!
Blaze,"When you think of me, think of approximate gratitude!"
Blaze,HUUGH!
Silver,Noooo!
Blue,"Oh my fucking God, she's fucking dead!"
Blaze,"Wait, that wasn't me saying that!"
Blaze,WHO'S THERE!?
Silver,She went out the way we all want to. By turning into mist and sparkles after holding two diamonds.
Silver,"Oh, it's so bright out now. I wanna go inside."
Blaze,You are still my bitch... (bitch echoes)
Silver,I always will be.
Sonic,Woah! Oh! We gotta escape from-- somewhere?! (Someone bursts out laughing)
Sonic,How did we get here?
Elise,Go that way!
Sonic,"Okay, but it looks like we're gonna have to ju-jump!"
Elise,What else is new? You've done that five times.
Sonic,"What? I can't hear you, it's loud! Here we go!"
Sonic,Woah! Elise: Woah!
Sonic,(screaming)
Sonic,We might do this. We're gonna make it! We're gonna make it!
Sonic,We're gonna make it!
Sonic,There's no way we can't make it!
Narrator,Is this the end for Sonic the Hedgehog?
Narrator,No!
Sonic,Elise!
Elise,(panting)
Sonic,Elise. Guess what?
Elise,What?
Sonic,I can never die!
Sonic,Nice smile!
Sonic,Wink.
Sonic,"Ew! No, it was gross on you. Elise: Wink."
Memphis,"Finally, the corrupted weed gem!"
Memphis,Finally those assholes will stop following me around and I can move on from my life.
Memphis,"I used to be into Fortnite. Yeah, sure, we all had that kind of phase."
Memphis,That doesn't mean I want to keep dating my Fortnite boyfriend and inviting him to my new apartment every time I have a party.
Sonic,Oh. I feel potent angst energy in this forest Elise!
Sonic,Woah!
Robots,(Beep in the tune of Darude Sandstorm)
Sonic,I feel so distracted!
Memphis,What the fu-- What are you people doing on my front lawn? Get out of here!
Sonic,(gasps in pain)
Memphis,"Oh my God. Oh my God, are you okay? Holy shit."
Memphis,"I--I-- I don't think I should pull it out. I think if I pull it out, he'll bleed out. Oh my God. Oh my God."
Memphis,I didn't mean to do that. Oh my god. Oh-- Sonic: You were right! I'm bleeding out!
